Wavelength (nm),BLANK1,L470JUNE2022,L377JUNE2422,L375JUNE1722,L222JUNE2822,BLANK2,L378JUNE2722,L373JUNE1022,L239JUNE822,L442JUNE822,L114JUNE1022,L224JUNE2922,L626JUNE622
670.0161133,6.80E-05,0.002295983,0.000911054,0.000381027,0.002198173,-0.002093315,-0.000982296,0.000121137,-0.001373148,-0.000593987,-0.001121226,-0.001450812,-0.001032657
668.9987793,0.000231664,0.002435958,0.001225227,0.000657198,0.002566344,-0.001955315,-0.001021552,-9.66E-05,-0.001261608,-0.000614512,-0.001171725,-0.001609038,-0.001266925
667.9810791,8.87E-05,0.002275477,0.000980891,0.000506806,0.002161334,-0.001991855,-0.001285199,-4.22E-05,-0.001372787,-0.000762604,-0.001242869,-0.001556681,-0.001024393
666.9631348,-0.000231048,0.002176943,0.000764827,0.000346933,0.002233506,-0.001685216,-0.000793715,0.000101304,-0.001198625,-0.000142401,-0.001056673,-0.001363136,-0.000760278
665.9448242,-1.18E-05,0.002200436,0.001022975,0.00020693,0.002127854,-0.001811806,-0.000735677,-3.59E-05,-0.001198573,-0.000121699,-0.001058687,-0.001195992,-0.000957759
665.0717163,-1.30E-05,0.002351364,0.000804893,0.000298412,0.002220054,-0.002008809,-0.00104309,-0.000458923,-0.001410924,-0.000543421,-0.001414691,-0.001674644,-0.001407105
664.0528564,-7.74E-05,0.002348267,0.00118032,0.000401599,0.00240178,-0.00215962,-0.001507516,-0.000202743,-0.001491471,-0.000558364,-0.001175753,-0.001669229,-0.001176992
663.0336914,0.000116088,0.00231053,0.001057641,0.000200792,0.002330075,-0.001722449,-0.000948099,-5.76E-05,-0.001081308,-0.000409064,-0.000948099,-0.001534343,-0.001098814
662.0141602,5.57E-05,0.002170023,0.000929161,0.000577071,0.002324427,-0.002167348,-0.001291961,-0.000324747,-0.001564935,-0.000787668,-0.001178747,-0.001657006,-0.001233473
660.9943237,-0.000109329,0.002324635,0.001178944,0.000176552,0.002352821,-0.001807681,-0.000851744,-7.53E-05,-0.001122517,-0.00043327,-0.000978887,-0.001402771,-0.000920203
659.9741821,-4.02E-05,0.002297622,0.001081567,0.000507325,0.002534629,-0.00185975,-0.001086059,-5.45E-05,-0.001336505,-0.000449303,-0.001205234,-0.00153878,-0.001172655
658.9537354,-8.55E-05,0.002294448,0.001228991,0.000356518,0.002306574,-0.00199036,-0.000992472,-5.72E-05,-0.001358388,-0.000548022,-0.001101138,-0.001591191,-0.001032915
657.9329834,-0.00013764,0.0019866,0.000988389,0.000336,0.002302801,-0.001916143,-0.001012048,4.22E-05,-0.00131844,-0.00041403,-0.001237345,-0.001714508,-0.001288502
657.0578003,-0.00013205,0.002471154,0.001210768,0.000512378,0.002389598,-0.001895216,-0.000928727,-6.49E-05,-0.001282979,-0.000367839,-0.001265273,-0.001294593,-0.001113118
