Baseline 100%T,,BLANK,,L239_JUNE_3_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
588.0405884,0.02010154724,588.0405884,0.0001705961477,588.0405884,0.001773751574,
587.0003662,0.01996224001,587.0003662,0.0003739025269,587.0003662,0.001825842424,
585.9598999,0.01992004178,585.9598999,0.0002641171741,585.9598999,0.001966134179,
585.0678101,0.01985649578,585.0678101,0.0004099683138,585.0678101,0.001969332807,
584.0267944,0.01962230541,584.0267944,0.0004576460924,584.0267944,0.002090422437,
582.9854736,0.01965548098,582.9854736,0.0002848131408,582.9854736,0.002083841711,
581.9439087,0.01950610988,581.9439087,0.0003178406623,581.9439087,0.002027558628,
581.0509644,0.019438833,581.0509644,0.0003472437384,581.0509644,0.001909242477,
580.0088501,0.01935716718,580.0088501,0.000195690227,580.0088501,0.00199936796,
578.9664917,0.01929134876,578.9664917,0.0002087946341,578.9664917,0.00201042043,
578.072876,0.01917180605,578.072876,0.0001603413984,578.072876,0.002120439894,
577.0300293,0.01898238622,577.0300293,0.0002395630436,577.0300293,0.002130376874,
575.9868774,0.01881986484,575.9868774,0.0001862117933,575.9868774,0.002170985565,
574.9434814,0.01873485558,574.9434814,0.0001743769972,574.9434814,0.002138155047,
574.0489502,0.01853563078,574.0489502,0.0001896561298,574.0489502,0.00217332691,
573.0050049,0.01825811714,573.0050049,0.0003171671124,573.0050049,0.002236237749,
571.9608154,0.01818409562,571.9608154,0.0001329188963,571.9608154,0.002176240785,
571.0656128,0.01808385551,571.0656128,0.0002126017207,571.0656128,0.002205821918,
570.0209351,0.01797762327,570.0209351,0.0001197908932,570.0209351,0.002209282247,
568.9760132,0.01777200215,568.9760132,0.0001077248744,568.9760132,0.002289659344,
567.9307861,0.01763923652,567.9307861,-3.551409463E-5,567.9307861,0.002304700669,
567.034668,0.01744377427,567.034668,-3.12691227E-5,567.034668,0.00215527229,
565.9889526,0.01711913198,565.9889526,0.0002185325429,565.9889526,0.002339105587,
