Baseline 100%T,,BLANK,,L470_JUNE_20_22,,L377_JUNE_24_2022,,L375_EPI_JUNE_17_2022,,L222_JUNE_28_2022,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
717.0101318,-0.003335610963,717.0101318,-1.092374168E-5,717.0101318,0.001376750763,717.0101318,0.0007937155897,717.0101318,3.225511318E-5,717.0101318,0.001249058056,
716.0087891,-0.003679538844,716.0087891,9.604755905E-5,716.0087891,0.001404589508,716.0087891,0.0008614328108,716.0087891,0.0001209560869,716.0087891,0.001197607373,
715.0071411,-0.00387923792,715.0071411,5.537361722E-5,715.0071411,0.001427157782,715.0071411,0.0009328701417,715.0071411,5.229280578E-5,715.0071411,0.001384904841,
714.005188,-0.004233655985,714.005188,0.0002552329679,714.005188,0.001674967585,714.005188,0.00114380091,714.005188,0.0002776639885,714.005188,0.001431806711,
713.0028687,-0.003941679373,713.0028687,-2.578165913E-5,713.0028687,0.001358807087,713.0028687,0.0006501465687,713.0028687,9.498600411E-5,713.0028687,0.001189975883,
712.0001831,-0.003806420602,712.0001831,-9.784786016E-6,712.0001831,0.001498506521,712.0001831,0.000751783431,712.0001831,0.0002424120757,712.0001831,0.001164331217,
710.9971924,-0.003719835076,710.9971924,0.0001625943114,710.9971924,0.001499727368,710.9971924,0.0008728713146,710.9971924,0.0002002223337,710.9971924,0.001224578009,
709.9938965,-0.003290911904,709.9938965,-4.302034722E-5,709.9938965,0.001466012443,709.9938965,0.0007225085283,709.9938965,0.0001276883704,709.9938965,0.001282885903,
708.9902344,-0.002791097155,708.9902344,0.0001769407536,708.9902344,0.001606058097,708.9902344,0.0008173414972,708.9902344,0.0003050956293,708.9902344,0.001314016175,
707.9862061,-0.002372274175,707.9862061,0.0001414121798,707.9862061,0.001637367415,707.9862061,0.0008126992034,707.9862061,0.0003203793312,707.9862061,0.001215570257,
706.9818726,-0.001672993531,706.9818726,9.9128687E-5,706.9818726,0.002074894262,706.9818726,0.0008115321398,706.9818726,0.0003974537831,706.9818726,0.001517702825,
