BLANK,,ELA_905,,ELA_923,,ELA_110,,ELA_104,,ELA_937,,ELA_121,,ELA_PRE-FILTER_1,,ELA_915,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
736.9971924,0.000305950467,736.9971924,-0.0001672429207,736.9971924,-0.0002805650292,736.9971924,-0.000554795959,736.9971924,-0.0003120726324,736.9971924,-7.092697615E-6,736.9971924,-0.0001549257722,736.9971924,-0.0006569029647,736.9971924,-0.0004383387859,
736.0009155,0.0004060040519,736.0009155,1.444461031E-5,736.0009155,4.219617767E-5,736.0009155,-0.0004669388582,736.0009155,-7.040413038E-5,736.0009155,0.0002347456175,736.0009155,0.0001291902008,736.0009155,-0.0004828154633,736.0009155,-0.0002167667699,
735.0043335,0.0004537850327,735.0043335,0.0001862376957,735.0043335,-0.0001810604881,735.0043335,-0.0002461058029,735.0043335,-8.070495096E-5,735.0043335,0.0002588591597,735.0043335,-0.0001971545425,735.0043335,-0.0002363263484,735.0043335,-6.647007831E-5,
734.0073853,0.0005058474489,734.0073853,0.0003465701593,734.0073853,0.0001012777138,734.0073853,-0.000195343353,734.0073853,0.0001295527036,734.0073853,0.0001731857628,734.0073853,0.0001054463501,734.0073853,-0.0002797371999,734.0073853,-1.85339577E-5,
733.0100708,-0.0001092250532,733.0100708,-5.083706492E-5,733.0100708,-0.0003555276489,733.0100708,-0.0006854369421,733.0100708,-0.0001872187422,733.0100708,-0.0001128999211,733.0100708,-0.0004232880892,733.0100708,-0.0006245932309,733.0100708,-0.0004822983174,
732.0124512,4.975568299E-5,732.0124512,0.0001121266032,732.0124512,-0.00021661153,732.0124512,-0.0003839262354,732.0124512,-3.939665839E-5,732.0124512,-0.000137122217,732.0124512,-0.0001673464285,732.0124512,-0.0004574229533,732.0124512,-0.0002644740453,
731.0144653,0.0005530692288,731.0144653,0.0005112898652,731.0144653,6.339936226E-5,731.0144653,-0.0002825310803,731.0144653,0.0001145605202,731.0144653,0.0003374252119,731.0144653,-5.64277434E-5,731.0144653,-0.0001619124378,731.0144653,-3.339161412E-5,
730.0161133,-2.655819117E-5,730.0161133,4.483681187E-5,730.0161133,-0.0001819402387,730.0161133,-0.0004325461341,730.0161133,-0.0003416121763,730.0161133,4.356827048E-5,730.0161133,-0.0005803378881,730.0161133,-0.0006746852305,730.0161133,-0.0005329238484,
729.0174561,0.0002805909899,729.0174561,0.0001253838418,729.0174561,-0.0001654833468,729.0174561,-0.0003041571472,729.0174561,8.336082101E-5,729.0174561,0.0001926343248,729.0174561,-0.0001244419109,729.0174561,-0.0002529875201,729.0174561,-4.830053149E-5,
728.0184326,0.0003769597097,728.0184326,0.0003722961992,728.0184326,4.86683457E-5,728.0184326,-0.0002332217118,728.0184326,0.0002552070655,728.0184326,0.0003898882132,728.0184326,0.0001046178004,728.0184326,-0.0001381573238,728.0184326,0.0001486626716,
727.019043,0.0002619673323,727.019043,0.0003816491517,727.019043,0.0001550069574,727.019043,-4.369331509E-5,727.019043,0.0002374651231,727.019043,0.0003894736583,727.019043,0.0003714671475,727.019043,-0.0001631544874,727.019043,9.439049609E-5,
726.0193481,8.579457062E-5,726.0193481,0.0003001997538,726.0193481,-0.0001717970736,726.0193481,-0.0001614466601,726.0193481,9.501189925E-5,726.0193481,0.0001489734132,726.0193481,3.707028736E-5,726.0193481,-0.0001997419604,726.0193481,-0.0001116577114,
725.0192871,0.000436449569,725.0192871,0.000346673798,725.0192871,-6.108658999E-5,725.0192871,-8.665757923E-5,725.0192871,7.618908421E-5,725.0192871,0.000125772247,725.0192871,0.0001425774244,725.0192871,-0.0001897027105,725.0192871,8.113420336E-5,
724.0189209,0.0003443940077,724.0189209,0.0004472031724,724.0189209,-8.256838919E-5,724.0189209,-0.0002057964593,724.0189209,6.837022374E-5,724.0189209,0.0003723739355,724.0189209,4.581840585E-6,724.0189209,-0.0003333868226,724.0189209,-5.099236296E-5,
723.0181885,0.0002767315018,723.0181885,0.0003426582844,723.0181885,0.0004039571504,723.0181885,-0.0001230444614,723.0181885,0.0001801001345,723.0181885,0.0003896550334,723.0181885,0.0002569424687,723.0181885,-0.0001919796778,723.0181885,-8.701990737E-5,
722.0170898,0.0002306275419,722.0170898,0.0003186436952,722.0170898,0.0002285296796,722.0170898,-0.000144833728,722.0170898,0.0001573116315,722.0170898,0.0005144517054,722.0170898,0.0001673332445,722.0170898,-9.592280549E-5,722.0170898,0.0001700782304,
721.015686,0.0002376464254,721.015686,0.000407429121,721.015686,0.000342761894,721.015686,-8.023908595E-5,721.015686,0.0003066498612,721.015686,0.0005486111622,721.015686,0.0002098823607,721.015686,-4.296858242E-5,721.015686,9.105049685E-5,
720.013916,0.0001647436584,720.013916,0.0004563245166,720.013916,0.0001418782776,720.013916,8.775431525E-6,720.013916,0.0002270274999,720.013916,0.0003969614918,720.013916,0.0003025052138,720.013916,4.983334657E-5,720.013916,8.952290227E-5,
719.0118408,0.0003864422906,719.0118408,0.0003578915203,719.0118408,0.0002267167001,719.0118408,-3.939665839E-5,719.0118408,0.0003327880404,719.0118408,0.0005844322732,719.0118408,0.0003225812688,719.0118408,2.536832199E-6,719.0118408,0.0001763192267,
718.0093994,2.873437552E-5,718.0093994,0.0003271147143,718.0093994,0.000170388972,718.0093994,-8.070495096E-5,718.0093994,0.0002441733086,718.0093994,0.000401677069,718.0093994,-5.643104487E-6,718.0093994,-3.841307989E-5,718.0093994,-0.0001948776189,
717.0066528,0.0002942678111,717.0066528,0.0003515442659,717.0066528,0.0002980756399,717.0066528,0.0002927654132,717.0066528,0.0003033082467,717.0066528,0.0005182873574,717.0066528,0.0002146736078,717.0066528,6.969062088E-5,717.0066528,0.0001953017636,
716.00354,0.0001439498446,716.00354,0.0002932057832,716.00354,0.0001654169464,716.00354,0.0002853570913,716.00354,0.0002951226197,716.00354,0.0003578396863,716.00354,0.0002236346772,716.00354,6.09657327E-5,716.00354,5.524417065E-5,
715.000061,8.429289301E-5,715.000061,0.000567273004,715.000061,0.0002718359465,715.000061,0.0003397826804,715.000061,0.0002596103004,715.000061,0.0005522398278,715.000061,0.0004190888721,715.000061,0.0001302000455,715.000061,5.392382081E-5,
713.9962769,0.0001571044704,713.9962769,0.000549984863,713.9962769,0.0002380867227,713.9962769,0.0005183651228,713.9962769,0.0002709034889,713.9962769,0.0004819275055,713.9962769,0.0004727019696,713.9962769,-5.591009176E-5,713.9962769,0.0002742448705,
712.9921875,0.0002184548503,712.9921875,0.000282999943,712.9921875,0.0003164417867,712.9921875,0.0006780424737,712.9921875,9.752339247E-5,712.9921875,0.0004557544307,712.9921875,0.0005145553732,712.9921875,-2.567812226E-5,712.9921875,0.0001205935841,
711.9876709,0.0004348948423,711.9876709,0.000747660466,711.9876709,0.0002843727998,711.9876709,0.0007486199029,711.9876709,0.000404527178,711.9876709,0.000674386858,711.9876709,0.0004185706493,711.9876709,7.251265197E-5,711.9876709,0.0002531090868,
710.9829102,0.0002718618489,710.9829102,0.0006008922937,710.9829102,0.0002711883863,710.9829102,0.0004433940339,710.9829102,0.0001404799841,710.9829102,0.0005296391319,710.9829102,0.0004112120077,710.9829102,-0.0001126411225,710.9829102,0.0002334765304,
709.9777832,0.0004910236457,709.9777832,0.0007113592001,709.9777832,0.00050794665,709.9777832,0.0006591943675,709.9777832,0.0003670368751,709.9777832,0.0006997693563,709.9777832,0.0006426543696,709.9777832,3.373072832E-5,709.9777832,0.0002598693245,
708.97229,0.0003740579705,708.97229,0.0005403431715,708.97229,0.0002288663673,708.97229,0.0007430707919,708.97229,0.0004230791819,708.97229,0.0005213973927,708.97229,0.0004833269049,708.97229,-2.003527698E-5,708.97229,0.0001601860276,
