BLANK,,ELA_946,,ELA_1004,,ELA_949,,ELA_1015,,ELA_932,,ELA_922,,ELA_1011,,ELA_947,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
729.0174561,4.711271686E-6,729.0174561,0.005063787568,729.0174561,0.000166634054,729.0174561,0.0002989045752,729.0174561,-0.0004210123443,729.0174561,-1.470298139E-5,729.0174561,0.001991436351,729.0174561,0.002276153769,729.0174561,0.0001418523898,
728.0184326,8.03315852E-5,728.0184326,0.005219459999,728.0184326,0.0002335024183,728.0184326,0.0002264836075,728.0184326,-0.000465180492,728.0184326,-5.21312104E-5,728.0184326,0.001989043783,728.0184326,0.002257990651,728.0184326,0.0004371232935,
727.019043,0.0002037703671,727.019043,0.005283154547,727.019043,0.000287791976,727.019043,0.0002745556994,727.019043,-0.0005894374917,727.019043,-7.501105574E-5,727.019043,0.001746278955,727.019043,0.0023463408,727.019043,0.0003701458336,
726.0193481,0.0002039516548,726.0193481,0.005483757239,726.0193481,0.0003535391006,726.0193481,8.856492786E-5,726.0193481,-0.0004701969738,726.0193481,-6.087953079E-5,726.0193481,0.002072527306,726.0193481,0.002449442632,726.0193481,0.0002979202254,
725.0192871,4.413781789E-5,725.0192871,0.005267799832,725.0192871,0.0002062565909,725.0192871,-0.0001191108895,725.0192871,-0.0006458404241,725.0192871,-0.0003308001906,725.0192871,0.001713688369,725.0192871,0.002271027304,725.0192871,0.000288672687,
724.0189209,-1.599723328E-5,724.0189209,0.005050352775,724.0189209,5.638329822E-5,724.0189209,-7.387227379E-5,724.0189209,-0.0009133313433,724.0189209,-0.0002855318889,724.0189209,0.001721329056,724.0189209,0.002049405128,724.0189209,0.000233062121,
723.0181885,-3.251155795E-5,723.0181885,0.00528763514,723.0181885,0.0004591749748,723.0181885,-7.455094874E-6,723.0181885,-0.0005097061512,723.0181885,-0.0002269088873,723.0181885,0.001885349164,723.0181885,0.002213002881,723.0181885,0.0003150429402,
722.0170898,0.000262588961,722.0170898,0.005394294858,722.0170898,0.0004360349849,722.0170898,0.0001369065722,722.0170898,-0.0004295980616,722.0170898,2.285791197E-5,722.0170898,0.001956799068,722.0170898,0.002280603396,722.0170898,0.0004575683561,
721.015686,0.0003657414927,721.015686,0.005534171127,721.015686,0.0005506846937,721.015686,0.0004099942162,721.015686,-0.0002535049571,721.015686,0.0001767594658,721.015686,0.002170257038,721.015686,0.002453399589,721.015686,0.0007262941799,
720.013916,-0.0001444196823,720.013916,0.005293007009,720.013916,0.000339756778,720.013916,3.432614903E-5,720.013916,-0.0006693609757,720.013916,-0.0002668540983,720.013916,0.001851526322,720.013916,0.002056947676,720.013916,0.0002209929517,
719.0118408,0.0001441828936,719.0118408,0.005486273672,719.0118408,0.0005748416879,719.0118408,0.0001438980544,719.0118408,-0.0002170254884,719.0118408,-7.164644921E-5,719.0118408,0.002272875048,719.0118408,0.002414404647,719.0118408,0.0006393619697,
718.0093994,7.593018381E-5,718.0093994,0.005351785105,718.0093994,0.0003540054313,718.0093994,0.0002580044093,718.0093994,-0.0003149180266,718.0093994,-5.643104487E-6,718.0093994,0.001828311943,718.0093994,0.002188104205,718.0093994,0.0003811309871,
717.0066528,-2.107066757E-5,717.0066528,0.00528401928,717.0066528,0.0004037757753,717.0066528,0.0001503976237,717.0066528,-0.0004656976671,717.0066528,-0.0002151108929,717.0066528,0.002052006079,717.0066528,0.002126500942,717.0066528,0.0003922459437,
716.00354,0.0001600824471,716.00354,0.005444252864,716.00354,0.0005437643849,716.00354,0.0002719136537,716.00354,-0.0003405258176,716.00354,7.220196858E-5,716.00354,0.002312664175,716.00354,0.002318207407,716.00354,0.0002547667536,
715.000061,5.527005851E-5,715.000061,0.005398304667,715.000061,0.000588942552,715.000061,0.0002947081812,715.000061,-8.940093539E-5,715.000061,0.0001284910686,715.000061,0.002093335614,715.000061,0.00236260728,715.000061,0.0005325159873,
713.9962769,7.396251021E-5,713.9962769,0.005401450209,713.9962769,0.0004216799862,713.9962769,0.0004472550063,713.9962769,-0.0003877539712,713.9962769,1.35385726E-5,713.9962769,0.00230621011,713.9962769,0.002252422273,713.9962769,0.0006031215889,
712.9921875,0.0001234159427,712.9921875,0.005476993509,712.9921875,0.0005178985884,712.9921875,0.0004497167247,712.9921875,-0.0003210226423,712.9921875,0.0001005527374,712.9921875,0.002172078239,712.9921875,0.002139195567,712.9921875,0.0004985650885,
