Wavelength (nm),BLANK,ELA_FISH927,ELA_FISH1013,ELA_FISH1012,ELA_FISH108,ELA_FISH118,ELA_FISH112,ELA_FISH117,ELA_FISH906,ELA_FISH916,ELA_CTL3-L224,ELA_CTL-L224,ELA_FISH911,ELA_FISH926,ELA_FISH929,ELA_FISH921,ELA_FISH928,ELA_FISH901,ELA_FISH907,ELA_FISH908,ELA_FISH912,ELA_FISH914,ELA_FISH919,ELA_FISH939,ELA_FISH113,ELA_FISH115,ELA_FISH120,ELA_FISH122,ELA_FISH1001,ELA_FISH1002,ELA_FISH1005,ELA_FISH1007,ELA_FISH1008
758.9551392,1.34E-05,0.000213301,-0.000197827,5.37E-05,-0.000330955,-0.000239483,0.006330274,-0.000387392,-0.000204761,0.000778208,-0.000911316,-0.000644651,-0.000326403,0.000158451,0.000174688,-0.000411237,-0.000861355,-0.000286463,-0.00038584,0.000340223,-0.000847094,-0.000745239,-0.000560122,5.67E-05,-0.000426702,-0.000247917,-1.98E-05,-0.000307934,-0.000324075,0.000152909,4.38E-05,-2.03E-05,0.000174014
757.9677124,0.000263392,0.00046073,-0.000169365,0.000260724,5.83E-05,8.98E-05,0.00692716,-0.000267423,-4.34E-05,0.001017085,-0.000276478,-0.000564827,-0.00035708,0.000226691,0.000229048,-0.000341974,-0.000370167,-0.000519324,-0.000119525,0.000449769,-0.000236378,-0.000413461,-0.000407771,0.000159798,-0.000233687,1.11E-05,4.73E-05,-0.000318591,-0.000155443,0.000524922,0.000192013,0.00017114,0.000581814
756.9799194,0.000232648,0.000364679,-8.39E-05,0.0005257,-0.000156841,0.000223868,0.006949412,-0.000268613,-9.91E-05,0.000899796,-0.000374926,-0.000393547,-0.000216508,0.000287714,0.000740478,-0.000308865,-0.000683679,-8.06E-05,-0.000178525,0.000222392,-0.000550815,-0.000359149,-0.00057098,5.44E-05,-4.68E-05,0.000370327,3.34E-05,-0.000222666,-6.85E-05,0.00047379,0.000182638,0.000261527,0.000766798
755.9917603,0.000201776,0.000112696,-0.000487625,1.79E-06,-0.000530855,-0.000101099,0.006302564,-0.000546316,-7.79E-05,0.000527851,-0.00071185,-0.000680009,-0.000608153,-0.000156013,0.000173522,-0.001103359,-0.000837897,-0.000301467,-0.000880369,0.000270101,-0.001009208,-0.001038287,-0.000952025,-0.000301467,-0.000666518,-0.000280513,-0.00027953,-0.000896799,-0.000203727,0.000177122,-0.000199017,4.78E-05,0.000224386
755.0032959,6.52E-05,2.67E-05,-0.000465491,1.04E-05,-0.000705699,-0.000680733,0.00664495,-0.000609601,-0.000268406,0.00033499,-0.00061689,-0.000950062,-0.000707095,-0.000203364,1.61E-05,-0.000593832,-0.00098865,-0.000556761,-0.000558932,-0.000120871,-0.000877424,-0.000947944,-0.000799037,-0.000392927,-0.000836398,-0.000191669,-7.43E-05,-0.000621905,-0.000262353,0.00036898,0.00015133,-0.000107724,0.000276576
754.0144043,0.000245442,0.000181343,-0.000435546,-3.68E-06,-0.000237051,-0.000186649,0.00678878,-0.000505517,3.70E-05,0.000666168,-0.000612237,-0.000509499,-0.000423547,-0.000190117,0.000156794,-0.000404099,-0.000839912,-0.000184476,-0.000731801,0.000146902,-0.000708594,-0.00070787,-0.000957294,-5.18E-05,-0.00067422,-0.000210661,-7.14E-05,-0.000383771,-0.000221217,0.000657639,6.88E-05,-0.000102548,0.000318333
753.0252075,0.000102831,-6.68E-05,-0.000198604,0.000209416,-0.00042665,-0.000396133,0.006880108,-0.000381547,3.47E-06,0.000757073,-0.00055128,-0.000250659,-0.0002965,0.000181084,0.000533319,-0.000426133,-0.000494916,-0.000353045,-0.000131481,0.00030551,-0.00059104,-0.000486746,-0.000498381,8.76E-05,-0.000517618,-0.000106171,-3.14E-05,-0.000196482,1.77E-05,0.000562374,8.44E-05,0.000337088,0.000745871
752.0356445,0.000149854,0.000230912,-0.000632141,0.000146203,-0.000378392,-0.000150992,0.007309472,-0.000265612,-0.000109122,0.000464332,-0.000402289,-0.000329921,-0.0005625,-0.000275702,-1.22E-05,-0.000269907,-0.000569842,-5.96E-05,-0.000443304,0.000150993,-0.000482247,-0.000740484,-0.000180284,0.000172409,-0.000579149,0.000237077,-2.39E-05,-0.000355114,0.000189423,0.000372348,6.04E-05,0.000276472,0.000505899
751.0457153,0.000327944,-0.000219199,-0.000544558,1.29E-05,-0.000383357,-0.000132982,0.007165707,-0.000427374,-0.00010348,0.00051935,-0.000582768,-0.000658609,-0.000402082,-0.000175782,0.000244924,-0.000660832,-0.000941022,-0.000113573,-0.000304416,0.000354083,-0.000578477,-0.000708128,-0.00084079,0.000193152,-0.000678976,-0.000316315,-0.000194878,-0.000697429,-0.000231721,7.76E-05,0.00028989,-0.000120301,0.000555454
750.0554199,0.00021962,-0.000198086,-0.000532769,-7.42E-05,-0.000648218,-0.000327955,0.006494757,-0.000559915,-0.000343268,-2.09E-05,-0.000891012,-0.000718207,-0.000600915,-0.000334266,5.84E-05,-0.000621181,-0.000992989,-0.000760433,-0.000888222,0.000202968,-0.000957863,-0.000829267,-0.000775782,-0.000341147,-0.00086182,-0.000309745,-0.000267423,-0.000664295,-0.00045401,0.000158995,-0.000149026,-0.000220027,0.000227312
749.0647583,9.20E-05,2.51E-05,-0.000671687,-5.40E-05,-0.000373684,-0.000324489,0.006931447,-0.000706113,-0.000201191,0.000423727,-0.000475937,-0.000736194,-0.000535509,-4.71E-05,0.000248965,-0.000658557,-0.000597296,-0.000251953,-8.73E-05,-0.000164655,-0.000885484,-0.000910335,-0.000590161,0.000105887,-0.000750355,0.000169897,0.000161558,-0.000343837,-5.61E-05,0.000642084,0.000197995,0.000236222,0.000291289
747.9321899,0.000149776,-0.000180232,-0.000660883,-3.99E-05,-0.000589386,-0.000254126,0.00645968,-0.000267061,1.14E-05,0.000662072,-0.00067696,-0.000312124,-0.000460836,-0.000139503,0.000210582,-0.000546109,-0.000784464,-0.000190479,-0.000522685,0.000204288,-0.000727821,-0.000788082,-0.000423185,4.01E-05,-0.000828182,-9.05E-05,-7.24E-05,-0.000548126,-0.00041584,0.000509942,0.00018326,-0.000182561,0.000377193
746.9407959,0.000264687,-0.00022577,-0.000597968,-0.000275546,-0.000267992,-0.000293137,0.006386776,-0.000734902,-0.000417599,0.000155499,-0.000631314,-0.000571238,-0.000564361,6.00E-05,-4.97E-06,-0.000525426,-0.000969382,-0.000435908,-0.00094562,-0.000315798,-0.000753456,-0.00081392,-0.000736866,-0.00010612,-0.000600191,-0.000328524,-0.000242122,-0.000329817,-0.000296448,0.000303982,-1.64E-05,-8.15E-05,0.000465187
745.9490356,6.99E-05,-0.000372546,-0.00077232,-0.000179456,-0.000641343,-0.000318229,0.006209441,-0.000853243,-0.000509913,8.88E-05,-0.000958483,-0.000942262,-0.000785808,-0.000381805,0.000113836,-0.000875151,-0.000821258,-0.000305192,-0.000761467,-0.000106689,-0.000962254,-0.001172035,-0.000943915,-0.000367218,-0.000951405,-0.000448631,-0.000315901,-0.000953213,-0.000550298,0.000135353,-3.67E-05,-0.000324696,3.38E-05
