Wavelength (nm),BLANK,ELA_FISH109,ELA_FISH930,ELA_FISH903,ELA_FISH1010,ELA_FISH105,ELA_FISH913,ELA_FISH909,ELA_CTL2-L222-224,ELA_FISH948,ELA_FISH944,ELA_CTL1-L239,ELA_CTL2-L239
700.0213013,-0.004071101,-0.003833979,-0.003485705,-0.002456452,-0.003194716,-0.002446774,-0.002649613,-0.003600475,-0.003436501,-0.00266011,-0.003639598,-0.003489352,-0.002798865
699.0125122,-0.0044846,-0.004090744,-0.003822997,-0.002708425,-0.003447699,-0.00272494,-0.002844335,-0.003681643,-0.003648326,-0.002874422,-0.003941782,-0.003439789,-0.003007607
698.003479,-0.00432829,-0.003945373,-0.003698789,-0.002439927,-0.003344191,-0.002471638,-0.002871851,-0.003731949,-0.00368534,-0.002844746,-0.003672044,-0.002907697,-0.002932072
696.9940186,-0.004438943,-0.004236476,-0.003908331,-0.002474264,-0.00349685,-0.002590022,-0.002733995,-0.003688266,-0.003700329,-0.002667263,-0.003909459,-0.002648893,-0.003143629
695.984314,-0.004311067,-0.003936036,-0.003623888,-0.002371914,-0.003445233,-0.002477404,-0.002641123,-0.003468397,-0.003463004,-0.002577413,-0.003598935,-0.002187747,-0.002866708
694.9742432,-0.004089513,-0.003830079,-0.003557395,-0.002211442,-0.0031923,-0.002292458,-0.002584618,-0.003388576,-0.003401367,-0.002474264,-0.00364848,-0.002006903,-0.002849581
693.9638672,-0.004504942,-0.004154847,-0.003891245,-0.002481316,-0.003327442,-0.002431123,-0.002543496,-0.003557344,-0.00363354,-0.002529393,-0.003639958,-0.002162866,-0.002756065
692.953125,-0.004178076,-0.003802264,-0.003677434,-0.002181411,-0.003087343,-0.002266192,-0.002311357,-0.003400134,-0.003413182,-0.002540922,-0.003386521,-0.001783706,-0.00271501
691.9420776,-0.004248319,-0.004064895,-0.003738365,-0.002514209,-0.003380152,-0.002342152,-0.002802054,-0.003628714,-0.003517187,-0.002618944,-0.003776654,-0.002365581,-0.002824018
690.9307251,-0.004511193,-0.004203867,-0.003873645,-0.002327888,-0.003447339,-0.002377475,-0.002646938,-0.003749092,-0.003482316,-0.002725866,-0.00367076,-0.002715936,-0.002765994
690.0635376,-0.004266878,-0.004178384,-0.004085718,-0.002361358,-0.003464032,-0.002433131,-0.0027787,-0.003734053,-0.003535776,-0.002760181,-0.003836442,-0.003327288,-0.00285565
689.0515747,-0.004226068,-0.004008729,-0.00386015,-0.00252193,-0.0031628,-0.00230868,-0.002457018,-0.003775217,-0.003483959,-0.002689491,-0.003611566,-0.003380717,-0.002671585
688.0393066,-0.004367501,-0.004079615,-0.004045712,-0.002563671,-0.003493871,-0.002436375,-0.002869228,-0.003855942,-0.003893502,-0.002451665,-0.003838649,-0.003572184,-0.002880697
687.0266724,-0.004444323,-0.003802777,-0.003725789,-0.002560944,-0.003233053,-0.002252904,-0.002681618,-0.003462645,-0.00367112,-0.002384735,-0.003574443,-0.003506299,-0.002726123
686.0136719,-0.004399892,-0.00408182,-0.003870258,-0.002436683,-0.003548152,-0.002392097,-0.002743101,-0.003708337,-0.003799082,-0.002825458,-0.003717987,-0.003627893,-0.002985138
685.0004272,-0.004605356,-0.004244115,-0.003754636,-0.002495626,-0.003467011,-0.002394311,-0.002679663,-0.003579629,-0.003895349,-0.002735127,-0.003673892,-0.003510716,-0.002829778
683.9868164,-0.004381698,-0.004095872,-0.00390007,-0.002247908,-0.003300315,-0.002357702,-0.002612614,-0.003599346,-0.003404809,-0.002480441,-0.003643449,-0.003716806,-0.002704875
682.9729004,-0.004329058,-0.003573878,-0.003757561,-0.002560326,-0.003526019,-0.002399203,-0.00275519,-0.003569154,-0.003562017,-0.00251704,-0.003801237,-0.00373082,-0.002598462
681.9586792,-0.004167052,-0.003056191,-0.00360294,-0.002266656,-0.003231974,-0.002157714,-0.002524194,-0.00329867,-0.003386727,-0.002165596,-0.003475588,-0.003247184,-0.002387309
680.9440918,-0.004235451,-0.003190502,-0.003980823,-0.002295857,-0.003580707,-0.00225857,-0.002650591,-0.003701766,-0.003410048,-0.002528158,-0.00353059,-0.003577729,-0.00279228
679.9291992,-0.004737652,-0.00329086,-0.004252369,-0.002700398,-0.003843164,-0.002348743,-0.002991257,-0.00397559,-0.003887858,-0.002677811,-0.003985491,-0.003815812,-0.003030434
