Wavelength (nm),BLANK,ELA_FISH946,ELA_FISH1004,ELA_FISH949,ELA_FISH1015,ELA_FISH932,ELA_FISH922,ELA_FISH1011,ELA_FISH947
671.9747925,-0.000331214,0.006840029,0.00080938,0.00058,-0.000140849,6.16E-05,0.003515005,0.002978456,0.000731921
670.9570923,-0.000244812,0.006704096,0.000581762,0.000375405,-0.000246778,-9.01E-05,0.003512343,0.00299433,0.000824733
669.9390869,-0.000460785,0.006392844,0.000538166,0.000634981,-0.000291016,-0.000129825,0.003783775,0.002833772,0.000715637
669.0662231,-0.000127185,0.006412705,0.000588035,0.000743019,-0.000225926,-9.25E-05,0.004145427,0.002763481,0.000777222
668.0476074,1.03E-05,0.00665486,0.000912481,0.000910665,-0.000237413,0.00012717,0.004010021,0.003110361,0.00091287
667.0286255,-0.000380047,0.006544106,0.000618079,0.000752665,-0.000266026,-0.000159014,0.004040171,0.002711486,0.000769935
666.0093994,-0.000319988,0.006547601,0.00092156,0.000688024,-0.000264371,0.000155059,0.004087988,0.00290676,0.00084268
664.9898682,-0.000294017,0.006395077,0.000829401,0.000696554,-0.000424426,-0.000103842,0.004005971,0.002728339,0.000968464
663.9699707,-0.000273942,0.006452901,0.000573416,0.000565977,-0.000222097,0.000136182,0.003725392,0.002639104,0.000663368
662.9497681,-0.000369856,0.006641244,0.000656291,0.000519557,-0.000362821,-5.98E-05,0.003829187,0.002701119,0.000654295
661.9292603,-0.000145765,0.006757991,0.000634696,0.000574401,-0.000258679,-2.21E-05,0.003707951,0.002651579,0.000808446
661.0543213,-9.49E-05,0.00675502,0.000749891,0.000635136,-0.000439063,6.09E-05,0.003686544,0.002793337,0.00080204
660.0332031,-0.00026168,0.006792829,0.000744523,0.000609291,-0.000350199,0.000180437,0.00361734,0.00275392,0.00081786
659.0118408,-0.000220027,0.006688901,0.000654735,0.000634955,-0.000432132,1.37E-05,0.003656183,0.00280196,0.000962367
657.9901123,-0.000306278,0.006584446,0.000697695,0.000531557,-0.00048778,-8.91E-05,0.003706385,0.002485603,0.000849191
656.9680786,-0.000496313,0.006473054,0.000496829,0.000393179,-0.000689831,-0.000242432,0.003560232,0.002389442,0.000698966
655.9457397,-0.000246002,0.0064771,0.000571783,0.000639569,-0.00074591,-5.92E-05,0.003573516,0.002391394,0.000589098
655.0692139,-0.000191617,0.00668346,0.000669409,0.00046783,-0.000339026,4.01E-05,0.003568114,0.002413051,0.000762519
654.0463257,-0.00021035,0.006775055,0.000843848,0.000467623,-0.00051798,-2.18E-05,0.003655895,0.002619728,0.00097277
653.0231323,-4.25E-05,0.006763223,0.000863093,0.000711618,-0.000423598,4.43E-05,0.003423755,0.002791903,0.000809769
651.9995728,-0.000320764,0.006886604,0.000826237,0.000684835,-0.0003592,-1.00E-05,0.003483377,0.002612879,0.00073021
650.975769,-1.28E-05,0.007092816,0.000651132,0.001004216,-0.000297794,9.07E-05,0.00353249,0.00258965,0.000936087
649.9516602,-0.000130704,0.006851968,0.000821776,0.000720745,-0.000286774,0.000409424,0.003512395,0.002748371,0.000744704
648.9271851,-0.000243363,0.006806134,0.000932222,0.000795427,-0.000291016,0.000166815,0.003470434,0.002607983,0.001034937
648.0488281,-0.000290188,0.006820123,0.000556542,0.000659143,-0.000509034,7.91E-05,0.003232343,0.002628791,0.000770973
647.0238647,0.0001519,0.007217027,0.001384385,0.000789203,0.000106663,0.000408284,0.003476853,0.00282408,0.001470038
645.9985352,-0.000367167,0.006839951,0.000887319,0.000926359,-0.000162844,0.000198927,0.00321414,0.002746678,0.000930795
644.9729004,-0.000171901,0.00693989,0.000785832,0.000592105,-0.000196016,-1.18E-05,0.003189314,0.002605483,0.000815863
643.9469604,-8.44E-05,0.006894651,0.000675709,0.000901664,-0.000466991,7.14E-05,0.003106737,0.002516273,0.000836222
643.0673828,-0.000119939,0.006810131,0.000949733,0.000681309,-0.000234774,0.000219491,0.003205091,0.002722921,0.000719423
642.0408936,-0.000109898,0.006886235,0.000834173,0.000809691,-0.000428202,0.000205583,0.003007493,0.002672285,0.000995186
641.0140991,-0.000344095,0.006846893,0.00060167,0.000746675,-0.000577339,4.13E-05,0.002830437,0.002482479,0.000855104
639.9869995,-0.000186235,0.007007652,0.000946334,0.000916242,-0.000408961,2.49E-05,0.003207725,0.002636838,0.001101342
638.9595947,3.62E-07,0.006909406,0.000972407,0.000939589,-0.000489487,0.000113939,0.003282496,0.002518512,0.001057745
637.9318848,-0.000408754,0.006932131,0.000808057,0.000753988,-0.000291637,9.30E-05,0.003144829,0.002553429,0.000974586
637.0507813,-0.000211437,0.006927791,0.000762389,0.000879252,-0.000422254,0.000111635,0.003004938,0.002604702,0.001078583
636.022522,-0.000179611,0.006894362,0.000790785,0.000631118,-0.000452096,2.71E-05,0.003113229,0.002660226,0.00090833
634.9939575,-0.000198241,0.007073503,0.000879719,0.000866024,-0.000313987,0.000153427,0.002985989,0.002982314,0.000871315
633.9650879,-0.000324075,0.006897387,0.000792315,0.00081537,-0.000488659,0.000150786,0.003300911,0.00265434,0.000992358
632.9359741,-0.000220648,0.007355491,0.000944881,0.000751913,-0.000345802,-0.000158393,0.003190096,0.002795343,0.000865583
632.0535889,-1.26E-05,0.007608552,0.00086924,0.000996432,-5.12E-05,0.000351467,0.003337012,0.003078267,0.001176375
631.0238647,-0.000157513,0.007714176,0.000999909,0.000720253,-0.000234257,0.00025329,0.00338269,0.003051207,0.000932351
629.9938354,-0.000201243,0.007419157,0.000931366,0.000777663,-0.000306123,0.000187118,0.003280358,0.002958413,0.00099721
628.963562,-0.000184062,0.007519783,0.000891366,0.000820895,-0.000326662,0.000119299,0.003355272,0.00303223,0.001195012
627.9329224,-0.00032899,0.007466874,0.000943247,0.000782461,-0.000379788,0.000237413,0.003290321,0.002860168,0.000895957
627.0493164,-5.45E-05,0.007541276,0.001081489,0.000819572,-0.000214645,0.000182042,0.003579911,0.002823324,0.000997989
626.0181885,-0.000139762,0.007289597,0.001278576,0.000805749,-0.000266492,0.000189682,0.003348959,0.00294176,0.000781216
624.9867554,2.25E-05,0.007427926,0.001318897,0.001013037,-6.95E-05,0.000305018,0.003406431,0.003152417,0.001182734
623.9549561,-0.000199638,0.007465267,0.001238285,0.000808368,-0.000279323,0.000165987,0.003330125,0.003017372,0.001001725
623.0703735,-0.000200104,0.007163338,0.00118398,0.000630081,-0.000288171,-0.000134586,0.003113125,0.003132131,0.000697903
622.0380859,-0.000208694,0.007217607,0.000984757,0.00084268,-0.000215525,0.000124374,0.003229448,0.002952002,0.001119197
621.0054932,-0.000114763,0.007363127,0.001064077,0.000824759,-0.000386771,7.87E-06,0.00331544,0.003144073,0.000905062
619.9726563,-0.000247296,0.007378424,0.001117432,0.000637625,-0.000222718,0.000241557,0.00341178,0.003213331,0.001141699
618.9394531,-0.000324541,0.007241321,0.00097373,0.000706614,-0.000247192,8.54E-05,0.003276497,0.003390491,0.000984264
618.0536499,-3.50E-05,0.007380925,0.001113461,0.000702025,-0.000216249,-6.51E-05,0.003416763,0.00348476,0.000995212
617.0199585,-0.000282221,0.007157075,0.000800329,0.000652272,-0.000212575,0.000117978,0.003363411,0.003424199,0.000932611
615.9859619,-0.000398202,0.00746129,0.001049182,0.000683617,-0.000331318,0.000167877,0.003553368,0.003627416,0.000946334
614.9516602,-7.48E-05,0.00753801,0.000956685,0.000837675,-6.46E-05,0.000198617,0.003416372,0.003645428,0.001099915
614.0648804,-0.000129669,0.007420184,0.000904465,0.000819702,-0.00036308,4.02E-05,0.003349012,0.003464955,0.001083955
613.0300293,-0.000118283,0.007563033,0.000963223,0.000699173,-0.000278702,0.000167411,0.003233699,0.003629791,0.001142633
611.9949341,-0.000456492,0.007518414,0.00114066,0.000862367,-0.000160101,0.000227209,0.003386995,0.003667852,0.000911106
610.9595337,-0.00041884,0.00754952,0.001032653,0.000694013,-0.000177645,3.05E-06,0.003339673,0.003583095,0.001092103
610.0717773,-0.000139296,0.007477012,0.001025699,0.000984808,-5.53E-05,0.000141283,0.003445385,0.00359458,0.001116654
609.0358276,-0.000222252,0.007418157,0.000852303,0.000641306,-0.000253712,3.42E-05,0.00341285,0.003502322,0.001084422
607.9996338,-0.000122786,0.00756701,0.000750228,0.000619453,-0.0003129,4.78E-05,0.003447159,0.003211089,0.000918395
606.9630737,-0.000423754,0.00758429,0.000921949,0.000795505,-0.000200001,0.000168291,0.003351229,0.003134948,0.001102717
605.9262695,-7.78E-05,0.00753614,0.000977959,0.000874998,-0.000201553,0.000222884,0.003405988,0.003206603,0.001200073
605.0373535,-0.000159998,0.007356518,0.000904802,0.000719527,-0.000387133,-3.75E-05,0.003299085,0.00311435,0.001024039
604,-0.000184993,0.007497186,0.001038362,0.000928045,-0.000229962,0.000188206,0.003396178,0.003191192,0.001166927
602.9624023,-0.00017542,0.007477487,0.000958242,0.000908278,-0.000176351,0.000104773,0.003436723,0.003328169,0.001219101
602.0727539,-0.000169054,0.007585291,0.000919381,0.000747531,-0.000242691,0.000192842,0.003451439,0.003283331,0.001197426
601.0346069,-0.00012056,0.007774706,0.001229432,0.000936087,2.37E-05,0.000423338,0.003654381,0.003437662,0.00137392
599.9961548,-0.000160101,0.007695151,0.001147928,0.000999052,-4.86E-05,0.000351285,0.003622561,0.00358119,0.001309109
598.9574585,-0.000196689,0.007692411,0.00087933,0.00089012,-0.000213921,0.000221304,0.003608936,0.003630914,0.00127868
598.0668945,-0.000329817,0.007616877,0.001012077,0.000777611,-7.32E-05,0.000185797,0.003836918,0.003535073,0.001218867
597.0276489,-5.94E-05,0.007555078,0.001154806,0.00096382,-0.000119163,0.000292325,0.003942516,0.00369294,0.001325389
595.9881592,-0.000343837,0.007558502,0.000895594,0.000733943,-0.000293034,3.47E-05,0.003684847,0.00351811,0.001200541
594.9483032,4.46E-05,0.007748037,0.001203681,0.000983823,7.30E-05,0.000338461,0.004096637,0.003898686,0.001441312
594.0568237,-0.000214645,0.007788779,0.001220762,0.001042539,-0.000110157,0.000430671,0.003738368,0.004053732,0.001151509
593.0165405,-0.000160929,0.007714044,0.001103366,0.00074499,-0.000402858,0.000190588,0.003634934,0.003974595,0.001226655
591.9758911,-0.000194826,0.007668619,0.001039503,0.000799473,-0.000255782,0.000206024,0.003478158,0.004109337,0.001196933
590.9349976,-0.000273529,0.007807517,0.001243996,0.000965324,-0.00016864,0.000351674,0.003545512,0.004145558,0.001248902
590.0426025,-0.000297845,0.007691278,0.001250745,0.000747531,-0.000120508,0.000167592,0.003379403,0.004229248,0.001224864
589.0012207,-0.000181578,0.007878155,0.001200696,0.000913362,-0.00019731,0.000190614,0.003637466,0.004121385,0.001335022
587.9595337,-3.32E-05,0.007754229,0.001223072,0.000778545,3.00E-05,0.000430257,0.003842611,0.004003149,0.0012954
587.0664063,-6.18E-05,0.008044571,0.00127328,0.000867839,-5.00E-05,0.000372141,0.003776046,0.004015873,0.001358392
586.024231,-0.000264888,0.007983977,0.001077207,0.000783783,-1.76E-05,0.000485115,0.003823285,0.003701424,0.001423314
